"identifiant","adresse","raison_sociale","nom","code_postal","code_insee","nom_commune","longitude","latitude"
"IDF9100704","Gournay, 112 rue de","SCCE (Sté DE COMBUSTIBLES DE CORBEIL ESSONNES) division SEAC, ex SEAC (Sté ESSONNAISE D'ETUDE ET D'APPLICATION DE LA CHALEUR)",NULL,"91100","91174","Corbeil-Essonnes","2.47125818942076","48.6029968693529"
"IDF9100705","Gournay, 114 rue de","MEUBLES MARQUIS","Fabrique de meubles","91100","91174","Corbeil-Essonnes","2.47086493217973","48.6029793474309"
"IDF9100706","Grandes Cordes (ou Bordes), rue des (ex avenue de l'Indienne)"," JOUBERT CHARLES, ex BOUSQUET Guillaume et Albert, ex BOUSQUET Alphonse, ex DULFOY","Teinturerie","91100","91174","Corbeil-Essonnes","2.47127917718361","48.6108204140054"
"IDF9100708","Jaurès, 9 et 11 rue Jean","SHELL FRANCAISE","Station service","91100","91174","Corbeil-Essonnes","2.46635661637089","48.6056193946789"
"IDF9100717","Arc, 18 rue Jeanne d'","CLINIQUE AUTO","Carrosserie, garage","91100","91174","Corbeil-Essonnes","2.47470972964116","48.6057444825372"
"IDF9100595","Gravigny, 85 rue de","RESIDENCE PRESSING","Pressing","91380","91161","Chilly-Mazarin","2.31366025687044","48.6937371577511"
"IDF9100597","Launay, 52 rue de","VERGER DU ROI, LE",NULL,"91380","91161","Chilly-Mazarin","2.32018883899287","48.7087920389142"
"IDF9100637","Angoulême, 43 rue d'","COUSSOT Guy (fils de Louis fils), ex COUSSOT Louis, ex BIJOU","Commerce de combustibles","91100","91174","Corbeil-Essonnes","2.4647190874791","48.6015565869447"
"IDF9100638","Angoulême, 73 rue d' (D 137, ex n° 57)","Garage d'Angoulême SAVI Thierry, ex CARROSSERIE DU MOULIN, ex AUTOMOBILES-INDUSTRIES-SERVICES, ex CARROSSERIE D'ANGOULEME, ex GARAGE PAGES ET FILS, ex PAGES, ex RIOUX","Carrosserie, garage","91100","91174","Corbeil-Essonnes","2.46272266119627","48.6002368975237"
"IDF9100639","Angoulême, 92 rue d' (ex n° 62)","DARBLAY Paul","Papeterie","91100","91174","Corbeil-Essonnes","2.46248687056018","48.6008085744214"
"IDF9100633","Verte, 1-3 rue","BIOPLASTIQUE, ex GIRAUDON Pierre","","91380","91161","Chilly-Mazarin","2.31298991557434","48.7035030470046"
